"No.","Time","Source","Destination","Protocol","Length","Time delta from previous captured frame","Info"
"156","111.587507726","172.16.10.9","172.16.20.9","TCP","5564","0.009089472","5004  >  39686 [PSH, ACK] Seq=392469 Ack=137 Win=43520 Len=5498 TSval=2165680014 TSecr=3655661402 [TCP segment of a reassembled PDU]"
"158","111.713137732","172.16.10.9","172.16.20.9","TCP","3410","0.125606602","5004  >  39686 [PSH, ACK] Seq=397967 Ack=137 Win=43520 Len=3344 TSval=2165680149 TSecr=3655661411 [TCP segment of a reassembled PDU]"
"160","111.715482529","172.16.10.9","172.16.20.9","TCP","1315","0.002327039","5004  >  39686 [PSH, ACK] Seq=401311 Ack=137 Win=43520 Len=1249 TSval=2165680149 TSecr=3655661537 [TCP segment of a reassembled PDU]"
"162","111.797901457","172.16.10.9","172.16.20.9","TCP","10066","0.082373093","5004  >  39686 [PSH, ACK] Seq=402560 Ack=137 Win=43520 Len=10000 TSval=2165680234 TSecr=3655661539 [TCP segment of a reassembled PDU]"
"164","111.809694286","172.16.10.9","172.16.20.9","TCP","8754","0.011414924","5004  >  39686 [PSH, ACK] Seq=412560 Ack=137 Win=43520 Len=8688 TSval=2165680234 TSecr=3655661539 [TCP segment of a reassembled PDU]"
"166","111.817834551","172.16.10.9","172.16.20.9","TCP","3328","0.008116559","5004  >  39686 [PSH, ACK] Seq=421248 Ack=137 Win=43520 Len=3262 TSval=2165680234 TSecr=3655661622 [TCP segment of a reassembled PDU]"
"168","111.963382348","172.16.10.9","172.16.20.9","TCP","10066","0.145525088","5004  >  39686 [PSH, ACK] Seq=424510 Ack=137 Win=43520 Len=10000 TSval=2165680399 TSecr=3655661642 [TCP segment of a reassembled PDU]"
"170","111.972916071","172.16.10.9","172.16.20.9","TCP","9072","0.009471423","5004  >  39686 [PSH, ACK] Seq=434510 Ack=137 Win=43520 Len=9006 TSval=2165680399 TSecr=3655661787 [TCP segment of a reassembled PDU]"
"172","112.004543997","172.16.10.9","172.16.20.9","TCP","1314","0.031605749","5004  >  39686 [PSH, ACK] Seq=443516 Ack=137 Win=43520 Len=1248 TSval=2165680440 TSecr=3655661797 [TCP segment of a reassembled PDU]"
"174","112.048856818","172.16.10.9","172.16.20.9","TCP","10066","0.044032480","5004  >  39686 [PSH, ACK] Seq=444764 Ack=137 Win=43520 Len=10000 TSval=2165680485 TSecr=3655661829 [TCP segment of a reassembled PDU]"
"176","112.058028912","172.16.10.9","172.16.20.9","TCP","2962","0.008901479","5004  >  39686 [PSH, ACK] Seq=454764 Ack=137 Win=43520 Len=2896 TSval=2165680485 TSecr=3655661829 [TCP segment of a reassembled PDU]"
"178","112.061192902","172.16.10.9","172.16.20.9","TCP","801","0.003138615","5004  >  39686 [PSH, ACK] Seq=457660 Ack=137 Win=43520 Len=735 TSval=2165680485 TSecr=3655661873 [TCP segment of a reassembled PDU]"
"180","112.216645105","172.16.10.9","172.16.20.9","TCP","1538","0.154634206","5004  >  39686 [PSH, ACK] Seq=458395 Ack=137 Win=43520 Len=1472 TSval=2165680652 TSecr=3655661886 [TCP segment of a reassembled PDU]"
"181","112.216775999","172.16.10.9","172.16.20.9","TCP","2962","0.000130894","5004  >  39686 [PSH, ACK] Seq=459867 Ack=137 Win=43520 Len=2896 TSval=2165680653 TSecr=3655661886 [TCP segment of a reassembled PDU]"
"183","112.220255902","172.16.10.9","172.16.20.9","TCP","719","0.003167777","5004  >  39686 [PSH, ACK] Seq=462763 Ack=137 Win=43520 Len=653 TSval=2165680653 TSecr=3655662041 [TCP segment of a reassembled PDU]"
"185","112.301974602","172.16.10.9","172.16.20.9","TCP","10066","0.081668264","5004  >  39686 [PSH, ACK] Seq=463416 Ack=137 Win=43520 Len=10000 TSval=2165680738 TSecr=3655662044 [TCP segment of a reassembled PDU]"
"187","112.314491546","172.16.10.9","172.16.20.9","TCP","5858","0.012169256","5004  >  39686 [PSH, ACK] Seq=473416 Ack=137 Win=43520 Len=5792 TSval=2165680738 TSecr=3655662044 [TCP segment of a reassembled PDU]"
"189","112.322369231","172.16.10.9","172.16.20.9","TCP","922","0.007854055","5004  >  39686 [PSH, ACK] Seq=479208 Ack=137 Win=43520 Len=856 TSval=2165680738 TSecr=3655662126 [TCP segment of a reassembled PDU]"
"191","112.470377204","172.16.10.9","172.16.20.9","TCP","1890","0.147603761","5004  >  39686 [PSH, ACK] Seq=480064 Ack=137 Win=43520 Len=1824 TSval=2165680906 TSecr=3655662147 [TCP segment of a reassembled PDU]"
"192","112.472037032","172.16.10.9","172.16.20.9","TCP","8754","0.001659828","5004  >  39686 [PSH, ACK] Seq=481888 Ack=137 Win=43520 Len=8688 TSval=2165680906 TSecr=3655662147 [TCP segment of a reassembled PDU]"
"194","112.479948533","172.16.10.9","172.16.20.9","TCP","5858","0.002045700","5004  >  39686 [PSH, ACK] Seq=490576 Ack=137 Win=43520 Len=5792 TSval=2165680908 TSecr=3655662147 [TCP segment of a reassembled PDU]"
"196","112.486087601","172.16.10.9","172.16.20.9","TCP","327","0.006118145","5004  >  39686 [PSH, ACK] Seq=496368 Ack=137 Win=43520 Len=261 TSval=2165680914 TSecr=3655662301 [TCP segment of a reassembled PDU]"
