"No.","Time","Source","Destination","Protocol","Length","Time delta from previous captured frame","Info"
"205","4.556992348","172.16.20.1","172.16.20.9","TCP","3051","0.035971530","5004  >  36330 [PSH, ACK] Seq=555716 Ack=1 Win=85 Len=2985 TSval=2121623879 TSecr=3180720711"
"207","4.734000567","172.16.20.1","172.16.20.9","TCP","1258","0.176789409","5004  >  36330 [PSH, ACK] Seq=558701 Ack=1 Win=85 Len=1192 TSval=2121624056 TSecr=3180720748"
"208","4.734137116","172.16.20.1","172.16.20.9","TCP","1514","0.000136549","5004  >  36330 [ACK] Seq=559893 Ack=1 Win=85 Len=1448 TSval=2121624057 TSecr=3180720748"
"210","4.735371840","172.16.20.1","172.16.20.9","TCP","722","0.000300597","5004  >  36330 [PSH, ACK] Seq=561341 Ack=1 Win=85 Len=656 TSval=2121624058 TSecr=3180720926"
"212","4.776885225","172.16.20.1","172.16.20.9","TCP","8754","0.041457251","5004  >  36330 [PSH, ACK] Seq=561997 Ack=1 Win=85 Len=8688 TSval=2121624099 TSecr=3180720926"
"214","4.785960868","172.16.20.1","172.16.20.9","TCP","1378","0.008482142","5004  >  36330 [PSH, ACK] Seq=570685 Ack=1 Win=85 Len=1312 TSval=2121624099 TSecr=3180720926"
"215","4.786001339","172.16.20.1","172.16.20.9","TCP","2962","0.000040471","5004  >  36330 [PSH, ACK] Seq=571997 Ack=1 Win=85 Len=2896 TSval=2121624100 TSecr=3180720926"
"218","4.788984223","172.16.20.1","172.16.20.9","TCP","351","0.002572909","5004  >  36330 [PSH, ACK] Seq=574893 Ack=1 Win=85 Len=285 TSval=2121624109 TSecr=3180720977"
"220","5.009366766","172.16.20.1","172.16.20.9","TCP","8754","0.220326918","5004  >  36330 [PSH, ACK] Seq=575178 Ack=1 Win=85 Len=8688 TSval=2121624332 TSecr=3180720980"
"222","5.016984851","172.16.20.1","172.16.20.9","TCP","1378","0.007597416","5004  >  36330 [PSH, ACK] Seq=583866 Ack=1 Win=85 Len=1312 TSval=2121624332 TSecr=3180720980"
"224","5.019396023","172.16.20.1","172.16.20.9","TCP","8754","0.002216786","5004  >  36330 [PSH, ACK] Seq=585178 Ack=1 Win=85 Len=8688 TSval=2121624339 TSecr=3180721200"
"226","5.027372144","172.16.20.1","172.16.20.9","TCP","368","0.007950828","5004  >  36330 [PSH, ACK] Seq=593866 Ack=1 Win=85 Len=302 TSval=2121624342 TSecr=3180721210"
"228","5.061003763","172.16.20.1","172.16.20.9","TCP","8754","0.033610046","5004  >  36330 [PSH, ACK] Seq=594168 Ack=1 Win=85 Len=8688 TSval=2121624383 TSecr=3180721218"
"230","5.074283390","172.16.20.1","172.16.20.9","TCP","1378","0.013263806","5004  >  36330 [PSH, ACK] Seq=602856 Ack=1 Win=85 Len=1312 TSval=2121624383 TSecr=3180721218"
"232","5.074284914","172.16.20.1","172.16.20.9","TCP","8754","-0.000023264","5004  >  36330 [PSH, ACK] Seq=604168 Ack=1 Win=85 Len=8688 TSval=2121624384 TSecr=3180721251"
"234","5.084503598","172.16.20.1","172.16.20.9","TCP","1691","0.010103353","5004  >  36330 [PSH, ACK] Seq=612856 Ack=1 Win=85 Len=1625 TSval=2121624397 TSecr=3180721265"
"236","5.233817773","172.16.20.1","172.16.20.9","TCP","5858","0.149290825","5004  >  36330 [PSH, ACK] Seq=614481 Ack=1 Win=85 Len=5792 TSval=2121624556 TSecr=3180721275"
"238","5.241512013","172.16.20.1","172.16.20.9","TCP","1721","0.007679583","5004  >  36330 [PSH, ACK] Seq=620273 Ack=1 Win=85 Len=1655 TSval=2121624556 TSecr=3180721275"
"240","5.242176119","172.16.20.1","172.16.20.9","TCP","1514","0.000092604","5004  >  36330 [ACK] Seq=621928 Ack=1 Win=85 Len=1448 TSval=2121624557 TSecr=3180721424"
"242","5.243366945","172.16.20.1","172.16.20.9","TCP","1239","0.001185156","5004  >  36330 [PSH, ACK] Seq=623376 Ack=1 Win=85 Len=1173 TSval=2121624565 TSecr=3180721433"
"244","5.297058848","172.16.20.1","172.16.20.9","TCP","7306","0.053682537","5004  >  36330 [PSH, ACK] Seq=624549 Ack=1 Win=85 Len=7240 TSval=2121624620 TSecr=3180721434"
"246","5.311906379","172.16.20.1","172.16.20.9","TCP","2826","0.014831303","5004  >  36330 [PSH, ACK] Seq=631789 Ack=1 Win=85 Len=2760 TSval=2121624620 TSecr=3180721434"
"248","5.313542163","172.16.20.1","172.16.20.9","TCP","8754","0.001610854","5004  >  36330 [PSH, ACK] Seq=634549 Ack=1 Win=85 Len=8688 TSval=2121624620 TSecr=3180721488"
"250","5.347944008","172.16.20.1","172.16.20.9","TCP","8754","0.034383777","5004  >  36330 [PSH, ACK] Seq=643237 Ack=1 Win=85 Len=8688 TSval=2121624620 TSecr=3180721488"
"252","5.355585226","172.16.20.1","172.16.20.9","TCP","5858","0.002589241","5004  >  36330 [PSH, ACK] Seq=651925 Ack=1 Win=85 Len=5792 TSval=2121624636 TSecr=3180721504"
"254","5.361861677","172.16.20.1","172.16.20.9","TCP","8754","0.006241551","5004  >  36330 [PSH, ACK] Seq=657717 Ack=1 Win=85 Len=8688 TSval=2121624636 TSecr=3180721504"
"256","5.374118314","172.16.20.1","172.16.20.9","TCP","2962","0.011579601","5004  >  36330 [PSH, ACK] Seq=666405 Ack=1 Win=85 Len=2896 TSval=2121624684 TSecr=3180721546"
"258","5.375836927","172.16.20.1","172.16.20.9","TCP","2962","0.001666887","5004  >  36330 [PSH, ACK] Seq=669301 Ack=1 Win=85 Len=2896 TSval=2121624684 TSecr=3180721546"
"260","5.382744260","172.16.20.1","172.16.20.9","TCP","2962","0.006884897","5004  >  36330 [PSH, ACK] Seq=672197 Ack=1 Win=85 Len=2896 TSval=2121624697 TSecr=3180721565"
"262","5.384479357","172.16.20.1","172.16.20.9","TCP","2962","0.001717860","5004  >  36330 [PSH, ACK] Seq=675093 Ack=1 Win=85 Len=2896 TSval=2121624698 TSecr=3180721566"
"264","5.388702130","172.16.20.1","172.16.20.9","TCP","2962","0.004039066","5004  >  36330 [PSH, ACK] Seq=677989 Ack=1 Win=85 Len=2896 TSval=2121624705 TSecr=3180721573"
"266","5.390373073","172.16.20.1","172.16.20.9","TCP","2962","0.001638867","5004  >  36330 [PSH, ACK] Seq=680885 Ack=1 Win=85 Len=2896 TSval=2121624707 TSecr=3180721573"
"268","5.393854680","172.16.20.1","172.16.20.9","TCP","2962","0.003452948","5004  >  36330 [PSH, ACK] Seq=683781 Ack=1 Win=85 Len=2896 TSval=2121624711 TSecr=3180721579"
"270","5.396324797","172.16.20.1","172.16.20.9","TCP","2962","0.002437531","5004  >  36330 [PSH, ACK] Seq=686677 Ack=1 Win=85 Len=2896 TSval=2121624713 TSecr=3180721581"
"272","5.400269229","172.16.20.1","172.16.20.9","TCP","2962","0.003919239","5004  >  36330 [PSH, ACK] Seq=689573 Ack=1 Win=85 Len=2896 TSval=2121624716 TSecr=3180721584"
"274","5.402335971","172.16.20.1","172.16.20.9","TCP","2962","0.002038654","5004  >  36330 [PSH, ACK] Seq=692469 Ack=1 Win=85 Len=2896 TSval=2121624719 TSecr=3180721587"
"276","5.405922202","172.16.20.1","172.16.20.9","TCP","4410","0.003561310","5004  >  36330 [PSH, ACK] Seq=695365 Ack=1 Win=85 Len=4344 TSval=2121624719 TSecr=3180721587"
"278","5.411439801","172.16.20.1","172.16.20.9","TCP","4410","0.004881606","5004  >  36330 [PSH, ACK] Seq=699709 Ack=1 Win=85 Len=4344 TSval=2121624723 TSecr=3180721591"
